cep;logradouro
01139-030;Rua Osmar Rosa
01139-040;Rua Doutor Moisés Kahan
01139-050;Rua Adalberto Kemeny
01139-060;Praça Pascoal Martins
01139-070;Praça Luiz Carlos Mesquita
01139-080;Praça Iris Meimberg
01139-090;Praça José Vieira de Carvalho Mesquita
01139-901;Avenida Marquês de São Vicente 1213
01140-000;Avenida Thomas Edison
01140-001;Avenida Thomas Edison
01140-010;Rua Moisés Kauffmann
01140-020;Rua Zimon Leirner
01140-030;Rua Doutor Edgard Theotonio Santana
01140-040;Rua Doutor Alberto Barzaghi
01140-050;Rua Josef Kryss
01140-060;Avenida Nicolas Boer
01140-063;Rua Norma de Luca
01140-065;Ponte Júlio de Mesquita Neto
01140-070;Rua Doutor Bento Teobaldo Ferraz
01140-080;Rua da Várzea
01140-090;Rua José Antônio Muniz
01140-100;Rua Assis
01140-110;Rua Capitão-mor Gonçalo Monteiro
01140-120;Rua José Szakall
01140-130;Rua Tenente Alberto Spicciati
01140-140;Praça Orlando Zanfelice Júnior
01140-150;Ponte Júlio de Mesquita
01140-151;Rua Jornalista Aloysio Biondi
01140-900;Rua Josef Kryss 46
01140-901;Rua da Várzea 240
01140-970;Rua Tenente Alberto Spicciati 144
01141-000;Rua Rubens Meireles
01141-010;Rua Robert Bosch
01141-020;Rua Quirino dos Santos
01141-030;Avenida Ordem e Progresso
01141-040;Rua Federação Paulista de Futebol
01141-050;Rua Hélio de Barros
01141-060;Avenida Antártica
01141-070;Rua Rubens Porta Nova
01141-080;Rua Walfrido de Grammont
01141-090;Ponte do Limão
01141-900;Avenida Antártica 214
01141-901;Avenida Antártica 233
01141-902;Avenida Antártica 92
01142-000;Avenida Presidente Castelo Branco
01142-100;Avenida Presidente Castelo Branco
01142-200;Avenida Presidente Castelo Branco
01142-300;Avenida Presidente Castelo Branco
01144-000;Rua Inocêncio Tobias
01144-010;Rua Achilles Orlando Curtolo
01144-020;Rua José de Oliveira Coutinho
01144-025;Rua do Cano
01144-030;Rua Willy Heinrich Borghoff
01144-040;Rua São Gonçalo do Monte
01144-050;Rua Alfa
01144-060;Rua Beta
01144-070;Praça Francisco Servas
01144-080;Rua Gustav Willi Borghoff
01144-900;Rua Inocêncio Tobias 125
01144-901;Rua Willy Heinrich Borghoff 368
01150-000;Avenida General Olímpio da Silveira
01150-001;Avenida General Olímpio da Silveira
01150-010;Praça Marechal Deodoro
01150-011;Praça Marechal Deodoro
01150-020;Viaduto General Olímpio da Silveira
01150-901;Avenida General Olímpio da Silveira 190
01151-000;Rua Brigadeiro Galvão
01151-010;Rua Olímpia de Almeida Prado
01151-020;Rua Oscar Thompson
01151-030;Rua João de Barros
01151-040;Largo Brigadeiro Galvão
01152-000;Rua Barra Funda
01152-010;Rua Lopes de Oliveira
01153-000;Rua Vitorino Carmilo
01153-010;Rua Doutor Sérgio Meira
01153-020;Rua Sousa Lima
01153-030;Rua Camerino
01153-040;Rua Capistrano de Abreu
01154-000;Rua Conselheiro Brotero
01154-001;Rua Conselheiro Brotero
01154-010;Rua Lopes Chaves
01154-020;Rua Lavradio
01154-025;Praça Dom Ernesto de Paula
01154-030;Rua Margarida
01154-040;Travessa Camarajibe
01154-050;Rua Camarajibe
01154-060;Rua Mário de Andrade
01154-070;Praça Antônio Cândido de Camargo
01154-080;Praça Vicente Celestino
01154-900;Rua Conselheiro Brotero 589
01155-000;Avenida Pacaembu
01155-010;Rua Marta
01155-020;Rua Parintins
01155-030;Rua Dona Elisa
01155-040;Alameda Olga
01155-050;Rua Eliane Aparecida de Grammont
01155-060;Rua Doutor Alfredo de Castro
01155-070;Rua do Cadete
01155-080;Viaduto Pacaembu
01155-900;Alameda Olga 315
01155-901;Rua Dona Elisa 150
01156-000;Rua Tagipuru
01156-001;Avenida Auro Soares de Moura Andrade
01156-010;Vila Tagipuru
01156-020;Rua Umbelino Bueno de Carvalho
01156-030;Rua das Perdizes
01156-040;Largo Padre Péricles
01156-049;Passarela Ítalo Bataliola
01156-050;Avenida Doutor Adolpho Pinto
01156-060;Rua Júlio Gonzalez
01156-080;Rua Deputado Salvador Julianelli
01156-100;Rua Fuad Naufel
01156-110;Rua Wilfrides Alves de Lima
01156-900;Rua Tagipuru 235
01156-959;Largo Padre Péricles 11 Loja 2
01156-970;Largo Padre Péricles 11 Lojas 2
01189-900;Rua José Paulino 226
01201-000;Rua Barão de Campinas
01201-001;Rua Barão de Campinas
01201-010;Rua Doutor Carvalho de Mendonça
01201-020;Rua General Júlio Marcondes Salgado
01201-030;Rua Apa
01201-040;Rua Pirineus
01201-050;Praça Olavo Bilac
01201-060;Rua Ana Cintra
01201-900;Rua Apa 83
01201-901;Rua Barão de Campinas 305
01201-902;Rua Barão de Campinas 715
01201-903;Praça Olavo Bilac 95
01201-904;Rua Apa 165
01202-000;Alameda Barão de Limeira
01202-001;Alameda Barão de Limeira
01202-002;Alameda Barão de Limeira
01202-003;Alameda Barão de Limeira
01202-010;Rua Chácara do Carvalho
01202-020;Rua São Martinho
01202-030;Rua João Monteiro
01202-900;Alameda Barão de Limeira 401/425/454
01202-901;Alameda Barão de Limeira 477
01202-902;Alameda Barão de Limeira 539
01202-903;Alameda Barão de Limeira 1022
01202-970;Alameda Barão de Limeira 871
01203-000;Rua Conselheiro Nébias
01203-001;Rua Conselheiro Nébias
01203-002;Rua Conselheiro Nébias
01203-003;Rua Conselheiro Nébias
01203-010;Travessa Suzana de Campos
01203-902;Rua Conselheiro Nébias 1131
01203-903;Rua Conselheiro Nébias 1292
01203-904;Rua Conselheiro Nébias 1384
01203-905;Rua Conselheiro Nébias 14
01204-000;Rua Guaianases
01204-001;Rua Guaianases
01204-002;Rua Guaianases
01204-003;Rua Guaianases
01204-010;Rua General Rondon
01204-900;Rua Guaianases 1385
01204-959;Rua Guaianases 495
01204-970;Rua Guaianases 495
01204-971;Rua Guaianases 861
01205-000;Avenida Rio Branco
01205-001;Avenida Rio Branco
01205-010;Rua Doutor Elias Chaves
01205-900;Avenida Rio Branco 211
01205-901;Avenida Rio Branco 233
01205-902;Avenida Rio Branco 285
01205-903;Avenida Rio Branco 1269
01205-904;Avenida Rio Branco 1437
01205-905;Avenida Rio Branco 1489
01206-000;Avenida Rio Branco
01206-001;Avenida Rio Branco
01206-010;Praça Princesa Isabel
01206-901;Avenida Rio Branco 620
01206-902;Avenida Rio Branco 736
01206-904;Avenida Rio Branco 1210
01206-905;Avenida Rio Branco 1492
01206-972;Praça Princesa Isabel 84
01207-000;Rua Santa Ifigênia
01207-001;Rua Santa Ifigênia
01207-010;Largo Santa Ifigênia
01207-900;Rua Santa Ifigênia 75
01208-000;Rua dos Andradas
01208-001;Rua dos Andradas
01208-011;Rua dos Timbiras
01208-012;Rua dos Timbiras
01209-000;Rua Aurora
01209-001;Rua Aurora
01209-002;Rua Aurora
01209-003;Rua Aurora
01209-010;Praça Júlio Mesquita
01209-900;Rua Aurora 983
01210-000;Rua Vitória
01210-001;Rua Vitória
01210-002;Rua Vitória
01210-003;Rua Vitória
01210-010;Avenida Vieira de Carvalho
01210-901;Avenida Vieira de Carvalho 115
01210-902;Avenida Vieira de Carvalho 172
01211-000;Avenida São João
01211-002;Avenida São João
01211-100;Avenida São João
01211-101;Avenida São João
01211-900;Avenida São João 1588
01212-001;Rua dos Gusmões
01212-002;Rua dos Gusmões
01212-010;Rua do Triunfo
01212-020;Rua dos Protestantes
01212-030;Rua General Couto de Magalhães
01212-900;Rua dos Gusmões 353
01212-901;Rua General Couto de Magalhães 175
01212-903;Rua do Triunfo 134
01212-904;Rua do Triunfo 177
01212-905;Rua General Couto de Magalhães 444
01213-000;Rua General Osório
01213-001;Rua General Osório
01213-002;Rua General Osório
01213-003;Rua General Osório
01213-010;Largo General Osório
01213-900;Rua General Osório 590
01214-000;Avenida Duque de Caxias
01214-100;Avenida Duque de Caxias
01214-999;Avenida Duque de Caxias 84
01215-000;Alameda Glete
01215-001;Alameda Glete
01215-010;Rua Helvétia
01215-020;Largo Coração de Jesus
01215-900;Rua Helvétia 55
01215-959;Alameda Glete 1045
01215-970;Alameda Glete 1045
01216-000;Alameda Nothmann
01216-001;Alameda Nothmann
01216-011;Alameda Barão de Piracicaba
01216-012;Alameda Barão de Piracicaba
01216-959;Alameda Nothmann 73
01216-970;Alameda Nothmann 73
01216-971;Alameda Nothmann 45
01216-999;Alameda Nothmann 73
01217-000;Alameda Dino Bueno
01217-010;Alameda Ribeiro da Silva
01217-011;Alameda Ribeiro da Silva
01217-020;Rua Adolfo Gordo
01218-000;Alameda Cleveland
01218-011;Alameda Eduardo Prado
01218-012;Alameda Eduardo Prado
01218-020;Praça Júlio Prestes
01218-900;Alameda Cleveland 444
01218-902;Praça Júlio Prestes 29
01219-000;Rua do Arouche
01219-001;Rua do Arouche
01219-010;Largo do Arouche
01219-011;Largo do Arouche
01219-900;Rua do Arouche 23
01219-901;Rua do Arouche 157
01219-902;Largo do Arouche 24
01219-903;Largo do Arouche 150
01219-904;Largo do Arouche 290
01219-905;Largo do Arouche 337
01219-906;Rua do Arouche 23
01219-989;Rua do Arouche 24 Locker Correios Estação Metrô República - Ent Exc
01220-000;Rua Bento Freitas
01220-010;Rua Rego Freitas
01220-020;Rua Araújo
01220-030;Rua Epitácio Pessoa
01220-040;Rua Doutor Teodoro Baima
01220-900;Rua Araújo 70
01220-901;Rua Doutor Teodoro Baima 100
01220-902;Rua Araújo 165
01220-903;Rua Araújo 216
01220-904;Rua Araújo 224
01220-905;Rua Bento Freitas 178
01220-907;Rua Bento Freitas 176 5º andar Conjunto 53 a 56
01220-908;Rua Rego Freitas 354
01220-959;Rua Araújo 216
01220-970;Rua Araújo 216
01221-000;Rua Amaral Gurgel
01221-001;Rua Amaral Gurgel
01221-010;Rua Santa Isabel
01221-020;Rua Doutor Cesário Mota Júnior
01221-030;Rua Cunha Horta
01221-040;Rua Maria Borba
01221-900;Rua Doutor Cesário Mota Júnior 112
01221-901;Rua Amaral Gurgel 593
01221-902;Rua Santa Isabel 160
01221-903;Rua Santa Isabel 181
01221-906;Rua Doutor Cesário Mota Júnior 61
01222-000;Rua Major Sertório
01222-001;Rua Major Sertório
01222-010;Rua Maria Antônia
01222-020;Rua Doutor Vila Nova
01222-901;Rua Major Sertório 212
01222-902;Rua Major Sertório 671
01222-903;Rua Doutor Vila Nova 228
01223-000;Rua Marquês de Itu
01223-001;Rua Marquês de Itu
01223-010;Rua General Jardim
01223-011;Rua General Jardim
01223-020;Praça Rotary
01223-900;Rua Marquês de Itu 88
01223-901;Rua Marquês de Itu 836
01223-902;Rua General Jardim 60
01223-903;Rua Marquês de Itu 70
01223-904;Rua General Jardim 633
01223-905;Rua Marquês de Itu 58
01223-906;Rua General Jardim 36
01223-907;Rua General Jardim 482
01223-959;Rua Marquês de Itu 76
01223-970;Rua Marquês de Itu 76
01224-000;Rua Jaguaribe
01224-001;Rua Jaguaribe
01224-002;Rua Jaguaribe
01224-003;Rua Jaguaribe
01224-010;Rua Martinico Prado
01224-011;Rua Martinico Prado
01224-020;Rua Aureliano Coutinho
01224-021;Rua Aureliano Coutinho
01224-030;Rua Fortunato
01224-040;Rua Canuto do Val
01224-050;Rua Jesuíno Pascoal
01224-900;Rua Martinico Prado 90
01225-000;Rua Frederico Abranches
01225-001;Rua Frederico Abranches
01225-010;Largo Santa Cecília
01225-020;Rua Sebastião Pereira
01225-030;Rua Doutor Frederico Steidel
01225-040;Rua Barão de Joatinga
01225-050;Travessa dos Desenhistas
01225-060;Vila Adelaide
01225-070;Praça Alfredo Paulino
01225-900;Rua Frederico Abranches 225
01226-000;Rua Martim Francisco
01226-001;Rua Martim Francisco
01226-002;Rua Martim Francisco
01226-003;Rua Martim Francisco
01226-010;Rua das Palmeiras
01226-011;Rua das Palmeiras
01226-020;Rua Imaculada Conceição
01226-030;Rua Barão de Tatuí
01226-031;Rua Barão de Tatuí
01226-900;Rua das Palmeiras 381
01226-901;Rua Martim Francisco 665
01227-000;Avenida Angélica
01227-100;Avenida Angélica
01227-200;Avenida Angélica
01227-900;Avenida Angélica 501
01227-901;Avenida Angélica 903
01227-902;Avenida Angélica 2491 20º Andar Conjunto 203/204
01227-903;Avenida Angélica 2223
01227-904;Avenida Angélica 2229
01227-905;Avenida Angélica 2355
01227-906;Avenida Angélica 2389
01227-907;Avenida Angélica 2395
01227-909;Avenida Angélica 2601
01227-959;Avenida Angélica 1125/1133
01227-970;Avenida Angélica 1125/1133
01227-999;Avenida Angélica 1133
01228-000;Avenida Angélica
01228-100;Avenida Angélica
01228-200;Avenida Angélica
01228-900;Avenida Angélica 916
01228-901;Avenida Angélica 1106
01228-902;Avenida Angélica 1814
01228-903;Avenida Angélica 2100
01228-904;Avenida Angélica 2318
01228-905;Avenida Angélica 2582
01228-906;Avenida Angélica 2632
01229-000;Rua Doutor Veiga Filho
01229-001;Rua Doutor Veiga Filho
01229-010;Rua São Vicente de Paulo
01229-901;Rua Doutor Veiga Filho 340
01229-902;Rua Doutor Veiga Filho 351
01229-903;Rua São Vicente de Paulo 329
01229-904;Rua São Vicente de Paulo 501
01229-905;Rua São Vicente de Paulo 526
01230-000;Rua Doutor Albuquerque Lins
01230-001;Rua Doutor Albuquerque Lins
01230-010;Rua Doutor Brasílio Machado
01230-020;Rua Rosa e Silva
01230-030;Rua Azevedo Marques
01230-040;Rua Roque Friguglietti
01230-900;Rua Doutor Albuquerque Lins 107
01230-901;Rua Doutor Albuquerque Lins 574
01230-902;Rua Doutor Albuquerque Lins 634
01230-903;Rua Doutor Albuquerque Lins 818
01230-904;Rua Doutor Albuquerque Lins 992
01230-905;Rua Doutor Brasílio Machado 60
01230-906;Rua Doutor Brasílio Machado 203
01230-907;Rua Rosa e Silva 163
01230-908;Rua Rosa e Silva 211
01230-909;Rua Rosa e Silva 60
01231-000;Rua Baronesa de Itu
01231-001;Rua Baronesa de Itu
01231-010;Rua Doutor Gabriel dos Santos
01231-011;Rua Doutor Gabriel dos Santos
01231-020;Rua Emílio de Menezes
01231-901;Rua Doutor Gabriel dos Santos 124
01231-902;Rua Doutor Gabriel dos Santos 168
01231-904;Rua Baronesa de Itu 821
01231-905;Rua Baronesa de Itu 845
01232-000;Alameda Barros
01232-001;Alameda Barros
01232-010;Rua Conselheiro Brotero
01232-011;Rua Conselheiro Brotero
01232-020;Rua Doutor José Manoel
01232-030;Rua Goitacas
01232-904;Alameda Barros 399
01232-906;Rua Conselheiro Brotero 1080
01232-907;Rua Conselheiro Brotero 1208
01232-908;Rua Conselheiro Brotero 1086
01232-909;Rua Conselheiro Brotero 1353
01232-910;Rua Conselheiro Brotero 1486
01233-000;Rua Tupi
01233-001;Rua Tupi
01233-010;Rua das Mangabeiras
01233-020;Rua Engenheiro Edgar Egídio de Sousa
01233-030;Rua Senador Pádua Sales
01233-050;Rua Itaguaba
01233-060;Rua Francisco Estácio Fortes
01233-070;Praça Esther Mesquita
01233-902;Rua Tupi 330
01233-903;Rua Tupi 404
01233-904;Rua Tupi 507
01233-906;Rua Tupi 522
01233-907;Rua Tupi 535
01234-000;Avenida Pacaembu
01234-001;Avenida Pacaembu
01234-010;Praça Charles Miller
01234-020;Rua Itabaquara
01234-030;Rua Itamarati
01234-040;Rua Itassuce
01234-050;Praça Graça Aranha
01234-060;Praça do Estádio
01234-070;Praça Oriovaldo de Campos Mello
01234-900;Praça Charles Miller
01234-903;Avenida Pacaembu 746
01234-905;Avenida Pacaembu 904
01234-911;Avenida Pacaembu 1702
01234-912;Avenida Pacaembu 1738
01234-914;Avenida Pacaembu 1839
01234-916;Avenida Pacaembu 1962
01234-959;Avenida Pacaembu 1440
01234-970;Avenida Pacaembu 1440
01235-000;Rua Traipu
01235-010;Rua Atibaia
01235-020;Rua Conselheiro Fernandes Torres
01235-030;Rua Doutor Abreu Sodré
01235-900;Rua Atibaia 282
01236-000;Rua Doutor Manoel Maria Tourinho
01236-010;Rua Gustavo Teixeira
01236-020;Rua Bragança
01236-030;Avenida Arnolfo Azevedo
01236-040;Rua Camargo Aranha
01236-050;Praça Wendell Wilkie
01236-060;Praça João Alves Veríssimo
01236-070;Praça Golda Meir
01236-901;Avenida Arnolfo Azevedo 75
01237-000;Rua Heitor de Morais
01237-010;Rua José de Freitas Guimarães
01237-020;Rua Livreiro Saraiva
01237-030;Rua Olímpio Catão
01237-040;Rua Brigadeiro Melo
01237-050;Praça Sílvio de Almeida
01238-000;Avenida Higienópolis
01238-001;Avenida Higienópolis
01238-010;Rua Dona Veridiana
01238-900;Avenida Higienópolis 111
01238-901;Avenida Higienópolis 148
01238-902;Avenida Higienópolis 240
01238-904;Avenida Higienópolis 318
01238-905;Avenida Higienópolis 436
01238-909;Avenida Higienópolis 938
01238-910;Avenida Higienópolis 996
01239-000;Rua Itambé
01239-001;Rua Itambé
01239-010;Rua Sabará
01239-011;Rua Sabará
01239-020;Rua Itacolomi
01239-030;Rua Coronel José Eusébio
01239-040;Rua Mato Grosso
01239-050;Travessa Dona Paula
01239-060;Jardim Deputado José Armando Affonseca
01239-070;Praça Vitor Del Mazo
01239-900;Rua Itacolomi 333
01239-901;Rua Itacolomi 601
01239-903;Rua Itambé 96
01239-904;Rua Itambé 186
01239-905;Rua Itambé 289
01239-906;Rua Itambé 367
01239-907;Rua Sabará 315
01239-908;Rua Sabará 318
01239-970;Rua Coronel José Eusébio 61/67
01240-000;Rua Maranhão
01240-001;Rua Maranhão
01240-010;Rua Rio de Janeiro
01240-020;Rua Pernambuco
01240-030;Rua Aracaju
01240-900;Rua Maranhão 26
01240-901;Rua Maranhão 43
01240-902;Rua Maranhão 416
01240-904;Rua Maranhão 554
01240-905;Rua Maranhão 598
01240-906;Rua Maranhão 629
01241-000;Rua Piauí
01241-001;Rua Piauí
01241-010;Praça Vilaboim
01241-020;Rua Barão de Bocaina
01241-030;Rua Tinhorão
01241-040;Rua Doutor José Pereira de Queiros
01241-902;Rua Pedro Alciati 1080
01241-903;Rua Pedro Alciati 1246
01242-000;Rua Alagoas
01242-001;Rua Alagoas
01242-010;Rua Armando Penteado
01242-020;Rua Itatiara
01242-030;Praça Buenos Aires
01242-040;Praça Schmuel Iosef Agnon
01242-901;Via de Pedestre Nagóia 475
01242-902;Rua Alagoas 903
01243-000;Rua Sergipe
01243-001;Rua Sergipe
01243-002;Praça Universidade Mackenzie
01243-010;Rua Ceará
01243-020;Rua Pará
01243-030;Rua Avaré
01243-040;Praça Farias Brito
01243-050;Praça Garcia Redondo
01243-060;Viela Caiapitanga
01243-070;Vila Cunhaqueba
01243-080;Vila Jaguaruba
01243-090;Praça Yolanda Penteado
01243-901;Rua Pará 90
01243-902;Rua Pará 269
01243-903;Rua Pará 270
01243-904;Rua Sergipe 238
01243-905;Rua Sergipe 327
01243-906;Rua Sergipe 401
01243-907;Rua Sergipe 446
01243-908;Rua Sergipe 600
01243-909;Rua Sergipe 605
01243-910;Rua Sergipe 627
01243-911;Rua Pará 65
01243-912;Rua Sergipe 475
01244-000;Rua Bahia
01244-001;Rua Bahia
01244-010;Rua Minas Gerais
01244-011;Rua Minas Gerais
01244-020;Rua Novo Horizonte
01244-030;Rua Goiás
01244-040;Praça Humberto de Campos
01244-050;Praça Marechal Cordeiro de Farias
01244-060;Vila Coaquira
01244-070;Praça Cinquentenário de Israel
01244-900;Rua Bahia 107
01244-901;Via de Pedestre Bangalore 204
01244-902;Via de Pedestre Bangalore 226
01244-904;Via de Pedestre Bangalore 528
01244-905;Via de Pedestre Bangalore 543
01244-906;Via de Pedestre Bangalore 603
01244-908;Via de Pedestre Bangalore 1140
01244-909;Rua Novo Horizonte 46
01244-910;Rua Novo Horizonte 78
01245-000;Rua Itápolis
01245-010;Rua Itabirito
01245-020;Rua Morro Verde
01246-000;Avenida Doutor Arnaldo
01246-010;Rua Itajobi
01246-020;Rua Capivari
01246-030;Rua Itaquera
01246-040;Rua Itapemirim
01246-050;Rua Buri
01246-060;Rua Catanduva
01246-070;Rua João Florêncio
01246-080;Rua Professor Ernest Marcus
01246-090;Rua Marcelino Ritter
01246-100;Rua Major Natanael
01246-110;Praça Fagundes Varela
01246-120;Praça Doutor Clemente Ferreira
01246-130;Praça David Ben Gurion
01246-140;Praça Coronel Vicente Saguas Presas Júnior
01246-150;Praça Ben Gurion
01246-160;Viela Baebebu
01246-900;Avenida Doutor Arnaldo 165
01246-902;Avenida Doutor Arnaldo 355
01246-903;Avenida Doutor Arnaldo 455
01246-904;Avenida Doutor Arnaldo 715
01247-000;Rua Angatuba
01247-010;Rua Itaperuna
01247-020;Rua Itatinga
01247-030;Rua Itajaçu
01247-040;Rua Principado de Mônaco
01247-050;Rua Senador João Lira
01247-060;Rua Sílvio Portugal
01247-070;Praça William Acras
01247-080;Praça Nazareth de Almeida Macedo
01247-090;Praça Darcy Penteado
01248-000;Rua Bauru
01248-010;Rua Desembargador Paulo Passaláqua
01248-020;Rua Itaetê
01248-030;Rua Ubatuba
01248-040;Rua Doutor Acácio Nogueira
01248-050;Rua Penápolis
01248-060;Rua Itatiba
01248-070;Rua Itacaranha
01248-080;Praça Helena Sgarbi Salto
01248-090;Rua Modigliani
01248-100;Praça Prefeito Paulo Lauro
01249-000;Rua Cássio Martins Vilaça
01249-010;Rua Monsenhor Alberto Pequeno
01249-020;Rua Itajubá
01249-030;Rua Flávio Queirós Morais
01249-040;Rua Mário de Melo
01249-050;Rua Garopaba
01249-060;Praça Belisário Távora
01250-000;Rua Almirante Pereira Guimarães
01250-001;Rua Almirante Pereira Guimarães
01250-010;Rua Capitão Garcindo
01250-020;Rua Teodoro Ramos
01250-030;Rua Itapitangui
01250-040;Rua Ferdinando Laboriau
01250-050;Rua Zequinha de Abreu
